Key,Seconds,WPM
Shift,0.000,Infinity
T,0.345,69.6
h,0.430,83.7
e,0.501,95.7
 ,0.588,102.1
l,0.642,112.1
a,0.754,111.4
n,0.811,118.4
e,0.992,108.9
 ,1.143,105.0
w,1.299,101.6
i,1.518,94.9
d,1.720,90.7
e,1.872,89.7
n,1.928,93.4
e,2.014,95.4
d,2.174,93.8
,,2.315,93.3
 ,2.470,92.3
a,2.594,92.5
n,2.703,93.2
d,2.758,95.7
 ,2.830,97.5
i,2.946,97.8
n,3.007,99.8
 ,3.071,101.6
a,3.169,102.2
 ,3.244,103.6
m,3.464,100.5
i,3.624,99.3
n,3.716,100.1
u,3.807,100.9
t,3.895,101.7
e,3.962,103.0
 ,4.210,99.8
h,4.381,98.6
e,4.499,98.7
 ,4.564,99.9
c,4.704,99.5
a,4.783,100.4
m,4.940,99.6
e,5.594,90.1
 ,5.704,90.5
t,5.936,89.0
o,6.006,89.9
 ,6.087,90.7
t,6.131,92.0
h,6.185,93.1
e,6.231,94.4
 ,6.315,95.0
f,6.370,96.1
o,6.463,96.5
o,6.560,97.0
t,6.664,97.2
p,6.873,96.0
a,6.969,96.4
t,7.067,96.8
h,7.153,97.3
 ,7.218,98.1
s,7.269,99.1
h,7.371,99.3
e,7.448,99.9
 ,7.528,100.4
h,7.658,100.3
a,7.704,101.3
d,7.820,101.3
 ,7.879,102.0
t,8.054,101.3
o,8.141,101.7
l,8.263,101.7
d,8.308,102.5
 ,8.382,103.1
h,8.465,103.5
i,8.542,104.0
m,8.644,104.1
 ,8.748,104.3
o,8.809,104.9
f,8.938,104.7
,,9.033,105.0
 ,9.120,105.3
a,9.210,105.5
 ,9.305,105.7
m,9.392,106.0
e,9.485,106.3
r,9.564,106.7
e,9.666,106.8
 ,9.918,105.3
c,10.019,105.4
a,10.079,106.0
t,10.239,105.5
t,10.367,105.3
l,10.424,105.9
e,10.541,105.9
-,10.816,104.3
s,11.048,103.2
t,11.119,103.6
r,11.219,103.8
u,11.350,103.6
Backspace,12.109,98.1
Backspace,12.250,98.0
Backspace,12.383,97.9
Backspace,12.671,96.6
t,12.778,96.7
r,12.848,97.1
a,12.925,97.5
c,13.020,97.7
k,13.154,97.6
 ,13.534,95.8
w,13.833,94.6
h,13.944,94.7
i,14.016,95.0
c,14.110,95.3
h,14.173,95.7
 ,14.274,95.8
p,14.353,96.1
l,14.686,94.8
u,14.894,94.3
n,15.161,93.4
g,15.307,93.3
e,15.420,93.4
d,15.569,93.3
 ,15.613,93.8
b,15.954,92.5
e,16.074,92.6
t,16.174,92.7
w,16.257,93.0
e,16.383,93.0
e,16.514,93.0
n,16.602,93.2
 ,16.681,93.5
t,16.735,93.9
h,16.819,94.2
e,16.881,94.5
 ,16.949,94.9
b,17.245,93.9
u,17.552,93.0
s,17.660,93.1
h,17.788,93.1
e,17.842,93.5
s,17.970,93.5
 ,18.036,93.8
a,18.111,94.1
n,18.203,94.3
d,18.275,94.6
 ,18.340,94.9
q,18.450,95.0
u,18.598,94.8
i,18.752,94.7
c,18.846,94.9
k,18.916,95.2
l,19.075,95.0
y,19.152,95.2
 ,19.297,95.1
l,19.463,94.9
e,19.573,95.0
d,19.716,94.9
 ,19.782,95.2
t,19.834,95.6
