Key,Seconds,WPM
a,0.000,Infinity
a,0.654,36.7
d,1.232,29.2
d,1.740,27.6
g,2.271,26.4
g,2.848,25.3
d,3.388,24.8
s,4.336,22.1
s,4.833,22.3
a,5.349,22.4
a,5.838,22.6
p,6.341,22.7
p,6.820,22.9
o,7.354,22.8
f,8.445,21.3
f,8.960,21.4
d,9.444,21.6
d,9.925,21.8
s,10.408,21.9
s,10.873,22.1
a,11.381,22.1
f,12.301,21.5
f,12.753,21.6
d,13.227,21.8
d,13.657,22.0
s,14.119,22.1
s,14.534,22.3
a,15.039,22.3
p,15.961,21.8
p,16.436,21.9
s,16.870,22.1
s,17.316,22.2
f,17.822,22.2
f,18.289,22.3
d,18.804,22.3
d,19.737,21.9
d,20.203,22.0
s,20.664,22.1
s,21.101,22.2
a,21.619,22.2
a,22.099,22.3
p,22.554,22.3
