Key,Seconds,WPM
h,0.246,97.6
 ,0.532,67.7
u,0.728,65.9
h,0.889,67.5
 ,1.055,68.2
u,1.646,51.0
h,1.821,52.7
 ,1.952,55.3
k,2.289,52.4
i,2.472,53.4
s,2.556,56.3
s,2.686,58.1
y,2.839,59.2
 ,2.886,62.4
f,3.068,62.6
a,3.137,65.0
c,3.288,65.7
e,3.443,66.2
 ,3.540,67.8
k,3.663,68.8
i,3.817,69.2
s,3.887,71.0
s,4.001,72.0
y,4.128,72.7
 ,4.312,72.4
c,4.541,71.4
Backspace,4.794,70.1
f,4.873,71.4
a,4.947,72.8
c,5.070,73.4
e,5.197,73.9
 ,5.254,75.4
s,5.442,75.0
e,5.514,76.2
n,5.600,77.1
t,5.702,77.9
 ,5.786,78.8
t,5.917,79.1
o,5.995,80.1
 ,6.075,81.0
y,6.206,81.2
o,6.321,81.6
u,6.376,82.8
r,6.612,81.7
 ,6.701,82.4
p,6.925,81.4
h,7.078,81.4
o,7.136,82.4
n,7.271,82.5
e,7.373,83.0
 ,7.414,84.2
b,7.651,83.1
u,7.731,83.8
t,7.895,83.6
 ,7.929,84.8
Shift,8.182,83.6
I,8.241,84.5
',8.425,84.0
m,8.495,84.8
 ,8.581,85.3
t,8.847,84.1
r,8.971,84.3
y,9.067,84.7
 ,9.195,84.8
Backspace,11.691,67.7
i,11.948,67.3
n,11.995,68.0
g,12.104,68.4
 ,12.210,68.8
t,12.341,69.0
o,12.365,69.9
 ,12.452,70.3
s,12.541,70.8
e,12.597,71.4
n,12.682,71.9
d,12.791,72.2
 ,12.826,73.0
i,12.948,73.2
t,13.066,73.5
 ,13.120,74.1
t,13.324,73.9
o,13.371,74.5
 ,13.475,74.8
o,13.829,73.8
u,13.874,74.4
Backspace,14.237,73.3
Backspace,14.367,73.5
y,14.599,73.2
o,14.763,73.2
u,14.785,73.9
r,14.904,74.1
 ,14.959,74.6
p,15.142,74.5
h,15.306,74.5
o,15.354,75.0
n,15.503,75.1
e,15.572,75.5
.,15.705,75.6
 ,15.832,75.8
Shift,16.327,74.2
S,16.598,73.7
l,16.891,73.2
o,17.254,72.3
w,17.701,71.2
w,18.188,69.9
w,18.594,69.1
w,19.068,68.0
 ,19.580,66.8
t,19.846,66.5
y,19.917,66.9
p,20.074,67.0
i,20.238,67.0
n,20.284,67.4
g,20.338,67.9
 ,20.424,68.2
i,21.174,66.3
s,21.274,66.6
 ,21.356,66.9
v,21.815,66.0
e,21.945,66.2
r,21.991,66.6
y,22.087,66.8
 ,22.205,67.0
f,22.512,66.6
u,22.630,66.8
n,22.763,67.0
 ,22.877,67.1
Shift,23.230,66.6
I,23.303,66.9
 ,23.420,67.1
w,23.593,67.1
i,23.667,67.4
s,23.803,67.6
l,23.845,67.9
l,23.983,68.0
 ,24.532,67.0
t,24.928,66.4
h,24.997,66.7
y,25.858,65.0
p,26.108,64.8
e,26.230,65.0
 ,26.446,64.9
v,26.678,64.8
e,26.828,64.9
r,26.868,65.2
y,26.961,65.4
 ,27.104,65.5
f,27.272,65.6
a,27.364,65.8
s,27.426,66.1
t,27.561,66.2
 ,27.646,66.4
;,27.935,66.2
a,27.937,66.6
j,28.058,66.7
f,28.060,67.1
s,28.117,67.4
a,28.119,67.9
j,28.243,68.0
f,28.245,68.4
;,28.366,68.5
l,28.366,69.0
k,28.367,69.4
;,28.556,69.3
d,28.615,69.6
s,28.616,70.0
;,28.790,70.0
a,28.791,70.4
d,28.958,70.4
s,28.959,70.9
a,28.960,71.3
;,29.018,71.5
l,29.019,72.0
k,29.020,72.4
j,29.024,72.8
f,29.025,73.2
s,29.342,72.8
a,29.343,73.2
d,29.366,73.6
l,29.405,73.9
k,29.406,74.3
f,29.407,74.7
j,29.463,74.9
s,29.547,75.1
a,29.549,75.5
;,29.617,75.8
l,29.618,76.2
k,29.619,76.6
f,29.626,77.0
d,29.628,77.4
j,29.680,77.6
s,29.746,77.9
a,29.747,78.3
;,30.019,78.0
l,30.020,78.3
k,30.021,78.7
f,30.021,79.1
d,30.024,79.5
j,30.110,79.7
s,30.170,79.9
a,30.172,80.3
;,30.212,80.6
l,30.213,81.0
s,30.365,81.0
;,30.478,81.1
l,30.479,81.5
k,30.482,81.9
j,30.483,82.3
f,30.483,82.7
d,30.486,83.1
 ,31.538,80.7
a,31.793,80.4
n,31.904,80.5
d,31.983,80.7
f,32.138,80.7
;,32.319,80.6
j,32.320,80.9
s,32.401,81.1
a,32.402,81.5
l,32.424,81.8
k,32.489,82.0
j,32.490,82.4
f,32.491,82.7
s,32.585,82.9
a,32.586,83.2
j,32.716,83.3
f,32.718,83.6
s,32.791,83.8
a,32.792,84.2
j,32.925,84.2
s,32.969,84.4
a,32.972,84.8
j,33.125,84.8
s,33.176,85.0
;,33.281,85.1
l,33.283,85.5
k,33.285,85.8
j,33.285,86.2
f,33.286,86.5
s,33.377,86.6
a,33.378,87.0
d,33.410,87.3
a,33.555,87.3
s,33.581,87.5
d,33.603,87.9
l,33.642,88.1
k,33.642,88.5
f,33.643,88.8
j,33.741,88.9
a,33.774,89.2
s,33.790,89.5
;,33.859,89.7
l,33.861,90.0
k,33.866,90.4
f,33.866,90.7
d,33.867,91.1
;,34.054,90.9
l,34.056,91.3
k,34.056,91.6
d,34.062,92.0
s,34.063,92.3
a,34.064,92.7
j,34.083,92.9
;,34.312,92.7
l,34.312,93.0
k,34.313,93.4
j,34.334,93.7
f,34.393,93.9
d,34.395,94.2
s,34.396,94.5
a,34.401,94.9
j,34.753,94.3
f,35.318,93.1
j,35.492,93.0
f,36.073,91.8
j,36.263,91.7
f,36.866,90.5
j,37.091,90.3
f,37.904,88.6
i,38.482,87.6
e,38.703,87.4
a,39.226,86.6
,,39.419,86.5
f,39.593,86.4
k,39.797,86.2
l,39.830,86.5
u,40.193,86.0
s,40.377,85.9
m,40.520,85.9
s,40.910,85.4
i,41.571,84.3
e,41.875,84.0
