Key,Seconds,WPM
Shift,0.000,Infinity
I,0.170,141.3
t,0.361,99.8
 ,0.441,108.8
w,0.942,63.7
a,1.082,66.5
s,1.209,69.5
 ,1.338,71.7
a,1.461,73.9
 ,1.554,77.2
b,1.644,80.3
r,1.758,81.9
i,1.845,84.6
g,1.930,87.0
h,2.019,89.1
t,2.098,91.5
 ,2.165,94.2
c,2.285,94.5
o,2.355,96.8
l,2.477,96.9
d,2.554,98.7
 ,2.664,99.1
d,2.748,100.4
a,2.897,99.4
y,3.055,98.2
 ,3.166,98.5
i,3.253,99.6
n,3.305,101.7
 ,3.384,102.8
Shift,3.596,100.1
A,3.668,101.4
p,3.719,103.3
r,3.861,102.6
i,3.925,104.0
l,4.075,103.1
,,4.251,101.6
 ,4.323,102.7
a,4.413,103.3
n,4.498,104.1
d,4.561,105.2
 ,4.649,105.8
t,4.710,107.0
h,4.765,108.3
e,4.809,109.8
 ,5.002,107.9
c,5.159,107.0
l,5.259,107.3
o,5.398,106.7
c,5.489,107.1
k,5.563,107.9
s,5.775,106.0
 ,6.090,102.5
w,6.196,102.6
e,6.330,102.4
r,6.393,103.2
e,6.478,103.7
 ,6.559,104.3
s,6.665,104.4
t,6.767,104.6
r,6.830,105.4
i,6.901,106.1
k,7.047,105.6
i,7.188,105.2
n,7.242,106.1
g,7.305,106.8
 ,7.396,107.1
t,7.482,107.5
h,7.557,108.0
i,7.613,108.8
r,7.714,108.9
t,7.877,108.2
e,7.984,108.2
e,8.114,108.0
n,8.178,108.6
.,8.397,107.2
Shift,8.637,105.6
W,8.669,106.6
i,8.742,107.1
n,8.795,107.8
s,8.896,107.9
t,9.022,107.7
o,9.116,107.9
n,9.163,108.7
 ,9.243,109.1
Shift,9.486,107.5
S,9.575,107.8
m,9.718,107.4
i,9.846,107.3
t,9.947,107.4
h,10.056,107.4
,,10.559,103.4
 ,11.361,97.2
h,12.057,92.6
i,12.137,92.9
s,12.197,93.5
 ,12.273,93.9
c,12.337,94.3
h,12.377,95.0
i,12.469,95.3
n,12.539,95.7
 ,12.604,96.2
n,12.734,96.1
u,12.845,96.2
z,12.921,96.6
z,13.071,96.4
l,13.161,96.6
e,13.260,96.8
d,13.418,96.6
 ,13.478,97.0
i,13.535,97.5
n,13.591,98.0
t,14.005,96.0
o,14.120,96.0
 ,14.256,96.0
h,14.395,95.9
i,14.483,96.1
s,14.832,94.7
 ,14.948,94.7
b,15.298,93.3
r,15.475,93.1
e,15.538,93.4
a,15.601,93.8
s,15.701,94.0
t,15.837,94.0
 ,15.935,94.1
i,15.964,94.7
n,16.034,95.0
 ,16.166,95.0
a,16.236,95.3
n,16.407,95.1
 ,16.568,94.9
e,16.678,95.0
f,16.832,94.8
f,16.957,94.8
o,17.269,93.8
r,17.388,93.9
t,17.491,94.0
 ,17.600,94.1
t,17.689,94.3
o,17.773,94.5
 ,17.855,94.8
e,17.874,95.3
e,18.620,92.2
Backspace,19.027,90.8
s,19.103,91.1
c,19.221,91.1
a,19.314,91.3
p,19.407,91.5
e,19.471,91.8
 ,19.555,92.0
t,19.602,92.4
h,19.674,92.7
e,19.758,92.9
 ,19.800,93.3
v,19.935,93.3
i,20.030,93.5
l,20.177,93.4
e,20.285,93.5
 ,20.370,93.7
w,20.432,94.0
i,20.533,94.1
n,20.582,94.5
d,20.643,94.8
,,20.787,94.7
 ,20.883,94.8
s,20.949,95.1
l,21.021,95.3
i,21.146,95.3
p,21.314,95.1
p,21.456,95.1
e,21.524,95.3
d,21.692,95.1
 ,21.767,95.4
q,21.833,95.6
u,21.904,95.9
i,21.974,96.1
c,22.083,96.2
k,22.172,96.3
l,22.326,96.2
y,22.412,96.4
 ,22.506,96.5
t,22.598,96.6
r,22.684,96.8
h,22.723,97.2
o,22.866,97.1
u,22.960,97.2
g,23.015,97.5
h,23.139,97.5
 ,23.188,97.8
t,23.304,97.8
h,23.405,97.9
e,23.450,98.3
 ,23.515,98.5
c,23.616,98.6
Backspace,24.169,96.8
g,24.293,96.8
l,24.380,97.0
a,24.434,97.2
s,24.573,97.2
s,24.710,97.1
 ,24.791,97.3
d,24.901,97.3
o,24.998,97.4
o,25.138,97.4
r,25.240,97.5
s,25.375,97.4
 ,25.450,97.6
o,25.577,97.6
f,25.645,97.8
 ,25.744,97.9
Shift,25.958,97.5
V,26.023,97.8
i,26.132,97.8
c,26.224,97.9
t,26.448,97.6
o,26.846,96.6
r,27.053,96.3
y,27.283,95.9
 ,27.496,95.6
Shift,27.668,95.4
M,27.726,95.7
a,27.826,95.7
n,27.957,95.7
s,28.073,95.8
i,28.192,95.8
o,28.264,96.0
n,28.373,96.0
s,28.458,96.1
,,28.575,96.2
 ,28.713,96.1
t,28.790,96.3
h,28.860,96.5
o,28.942,96.6
u,29.035,96.7
g,29.174,96.7
h,29.254,96.8
 ,29.382,96.8
n,29.474,96.9
o,29.585,96.9
t,29.678,97.0
 ,29.750,97.2
q,29.856,97.3
u,29.905,97.5
i,30.047,97.4
c,30.156,97.5
k,30.227,97.7
l,30.414,97.5
y,30.531,97.5
 ,30.602,97.6
e,30.702,97.7
n,30.798,97.8
o,30.927,97.8
u,31.014,97.9
g,31.115,98.0
h,31.224,98.0
 ,31.306,98.1
t,31.404,98.2
o,31.544,98.1
 ,31.715,98.0
p,31.841,98.0
r,31.942,98.1
e,32.044,98.1
v,32.158,98.1
e,32.276,98.2
n,32.353,98.3
t,32.431,98.4
 ,32.518,98.5
a,32.624,98.6
 ,32.726,98.6
s,32.833,98.7
w,32.970,98.6
i,33.082,98.7
r,33.210,98.6
l,33.310,98.7
 ,33.440,98.7
o,33.614,98.5
f,33.811,98.3
 ,33.971,98.2
g,34.072,98.3
r,34.182,98.3
i,34.275,98.4
t,34.395,98.4
t,34.519,98.4
y,34.732,98.1
 ,34.839,98.2
d,34.945,98.2
u,35.031,98.3
s,35.093,98.5
t,35.194,98.5
 ,35.272,98.7
f,35.382,98.7
r,35.434,98.9
o,35.515,99.0
m,35.584,99.1
 ,35.655,99.3
e,35.760,99.3
n,35.846,99.4
t,35.941,99.5
e,36.103,99.4
r,36.175,99.5
i,36.296,99.5
n,36.351,99.7
g,36.436,99.8
 ,36.535,99.8
a,36.610,100.0
l,36.683,100.1
o,36.828,100.0
n,36.905,100.2
g,37.015,100.2
 ,37.094,100.3
w,37.193,100.3
i,37.225,100.6
t,37.470,100.2
h,37.581,100.3
 ,37.684,100.3
h,37.875,100.1
i,37.976,100.2
m,38.087,100.2
.,38.366,99.8
